# gunzip -c exp/tri3b/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3b/graph 
# Started at Tue May  7 16:41:48 KST 2019
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.9,52) frames.
At utterance end, SIL accounts for 95.6% of phone occurrences, with duration (median, mean, 95-percentile) is (38,41.8,59) frames.
At utterance end, nonsilence accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (54,55.5,70) frames.
At utterance end, NN_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (54,55.7,70) frames.
Overall, nonsilence accounts for 87.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,22) frames.
Overall, SIL accounts for 12.7% of phone occurrences, with duration (median, mean, 95-percentile) is (36,38.7,55) frames.
Overall, a_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, i_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, ww_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, v_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, g_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, o_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, r_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,7) frames.
Overall, NN_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.6,54) frames.
Overall, OO_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,15) frames.
Overall, u_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,14) frames.
Overall, n_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, s_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
Overall, NN_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, g_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
Overall, d_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
Overall, j_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, a_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.1,31) frames.
Overall, LL_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, EE_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, i_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.2,39) frames.
Overall, s_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,20) frames.
Overall, yv_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,19) frames.
Overall, h_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, LL_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.3,27) frames.
Overall, m_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,12) frames.
Overall, j_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,18) frames.
Overall, o_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.2,36) frames.
Overall, e_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,17) frames.
Overall, TT_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
Overall, d1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,18) frames.
Overall, b_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,11) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, h_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,18) frames.
Overall, KK_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
