# gmm-acc-stats-ali exp/tri3b/1.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/6/utt2spk scp:data/train/split8/6/cmvn.scp scp:data/train/split8/6/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/6/utt2spk ark,s,cs:exp/tri3b/trans.6 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.6.gz|" exp/tri3b/1.6.acc 
# Started at Tue May  7 15:59:24 KST 2019
#
gmm-acc-stats-ali exp/tri3b/1.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/6/utt2spk scp:data/train/split8/6/cmvn.scp scp:data/train/split8/6/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/6/utt2spk ark,s,cs:exp/tri3b/trans.6 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.6.gz|' exp/tri3b/1.6.acc 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
splice-feats ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/6/utt2spk scp:data/train/split8/6/cmvn.scp scp:data/train/split8/6/feats.scp ark:- 
transform-feats --utt2spk=ark:data/train/split8/6/utt2spk ark,s,cs:exp/tri3b/trans.6 ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03050 avg. like is -55.5589 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03101 avg. like is -51.085 over 220 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03152 avg. like is -50.4644 over 237 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03202 avg. like is -45.3145 over 196 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03252 avg. like is -49.732 over 191 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03303 avg. like is -48.3678 over 221 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03353 avg. like is -45.9643 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s03f1jrbmg01-20150804-Korean-cps03404 avg. like is -50.2981 over 199 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s03f1jrbmg01-20150804-KoreanbabbleSNR10-cps03036 avg. like is -52.2287 over 221 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s03f1jrbmg01-20150804-KoreanbabbleSNR10-cps03087 avg. like is -50.4725 over 199 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s03f1jrbmg01-20150804-KoreanbabbleSNR10-cps03138 avg. like is -50.3829 over 215 frames.
