# gmm-acc-stats-ali exp/tri3b/1.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark,s,cs:exp/tri3b/trans.7 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|" exp/tri3b/1.7.acc 
# Started at Tue May  7 15:59:24 KST 2019
#
gmm-acc-stats-ali exp/tri3b/1.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark,s,cs:exp/tri3b/trans.7 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|' exp/tri3b/1.7.acc 
transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark,s,cs:exp/tri3b/trans.7 ark:- ark:- 
splice-feats ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03051 avg. like is -56.2526 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03101 avg. like is -62.5525 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03151 avg. like is -54.9756 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03202 avg. like is -54.5812 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03252 avg. like is -58.8433 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03303 avg. like is -55.7356 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03353 avg. like is -53.1997 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03404 avg. like is -55.1056 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03037 avg. like is -40.5426 over 160 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03087 avg. like is -47.345 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03137 avg. like is -47.6518 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 600 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03187 avg. like is -43.0464 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 650 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03238 avg. like is -44.1712 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 700 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03288 avg. like is -44.8903 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 750 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03339 avg. like is -43.1595 over 129 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 800 utterances; for utterance s03f3ssjjh01-20150804-KoreanhfchannelSNR10-cps03389 avg. like is -44.2391 over 94 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 850 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03022 avg. like is -49.6323 over 229 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 900 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03072 avg. like is -51.1738 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 950 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03122 avg. like is -52.9484 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1000 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03173 avg. like is -55.0206 over 185 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03223 avg. like is -51.1908 over 200 frames.
