# gmm-acc-stats-ali exp/tri3b/12.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.4.gz|" exp/tri3b/12.4.acc 
# Started at Tue May  7 16:14:06 KST 2019
#
gmm-acc-stats-ali exp/tri3b/12.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.4.gz|' exp/tri3b/12.4.acc 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- 
splice-feats ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01050 avg. like is -45.8534 over 301 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01100 avg. like is -50.2995 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01150 avg. like is -50.2297 over 224 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01201 avg. like is -45.8918 over 182 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01253 avg. like is -48.6099 over 357 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01303 avg. like is -48.7983 over 254 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01355 avg. like is -48.5828 over 263 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01407 avg. like is -47.0787 over 280 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01041 avg. like is -45.6586 over 113 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01091 avg. like is -47.2959 over 220 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01141 avg. like is -48.5661 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 600 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01192 avg. like is -47.688 over 293 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 650 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01243 avg. like is -48.9289 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 700 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01294 avg. like is -48.3536 over 195 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 750 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01346 avg. like is -48.1037 over 199 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 800 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01398 avg. like is -45.927 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 850 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01032 avg. like is -50.9117 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 900 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01083 avg. like is -51.5674 over 202 frames.
