# gmm-acc-stats-ali exp/tri3b/5.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.4.gz|" exp/tri3b/5.4.acc 
# Started at Tue May  7 16:05:28 KST 2019
#
gmm-acc-stats-ali exp/tri3b/5.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.4.gz|' exp/tri3b/5.4.acc 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
splice-feats ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/4/utt2spk ark:exp/tri3b/trans.4 ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/4/utt2spk scp:data/train/split8/4/cmvn.scp scp:data/train/split8/4/feats.scp ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01050 avg. like is -48.3665 over 301 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01100 avg. like is -52.5762 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01150 avg. like is -52.6225 over 224 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01201 avg. like is -48.1254 over 182 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01253 avg. like is -49.6928 over 357 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01303 avg. like is -50.4566 over 254 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01355 avg. like is -49.0195 over 263 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s01m1jrugs01-20150804-Korean-cps01407 avg. like is -49.123 over 280 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01041 avg. like is -48.656 over 113 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01091 avg. like is -48.9266 over 220 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01141 avg. like is -50.209 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 600 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01192 avg. like is -49.1243 over 293 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 650 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01243 avg. like is -50.6665 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 700 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01294 avg. like is -49.7545 over 195 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 750 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01346 avg. like is -49.5499 over 199 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 800 utterances; for utterance s01m1jrugs01-20150804-Koreanbabble2SNR10-cps01398 avg. like is -47.6765 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 850 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01032 avg. like is -54.0042 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 900 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01083 avg. like is -53.456 over 202 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 950 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01133 avg. like is -51.5471 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1000 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01183 avg. like is -53.7727 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01234 avg. like is -53.475 over 214 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1100 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01284 avg. like is -53.5338 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1150 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01334 avg. like is -58.6847 over 149 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1200 utterances; for utterance s01m1ksgsg01-20150804-Korean-cps01386 avg. like is -53.7891 over 181 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1250 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01020 avg. like is -41.8698 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1300 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01070 avg. like is -37.2656 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1350 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01121 avg. like is -43.1936 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1400 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01171 avg. like is -43.2929 over 185 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1450 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01222 avg. like is -41.4253 over 202 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1500 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01272 avg. like is -40.7693 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1550 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01322 avg. like is -42.5735 over 240 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1600 utterances; for utterance s01m1ksgsg01-20150804-KoreanwhiteSNR10-cps01374 avg. like is -42.2047 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1650 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01008 avg. like is -50.9829 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1700 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01059 avg. like is -51.486 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1750 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01110 avg. like is -52.6007 over 181 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1800 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01161 avg. like is -49.7742 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1850 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01212 avg. like is -51.919 over 176 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1900 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01262 avg. like is -47.833 over 176 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1950 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01312 avg. like is -53.6729 over 227 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2000 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01362 avg. like is -50.4241 over 143 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s01m1kshsh01-20150804-Korean-cps01415 avg. like is -51.4733 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01049 avg. like is -44.4556 over 204 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01100 avg. like is -44.2006 over 202 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01151 avg. like is -42.634 over 209 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01202 avg. like is -45.5749 over 181 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01252 avg. like is -49.3127 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01302 avg. like is -41.2383 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01352 avg. like is -42.9034 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s01m1kshsh01-20150804-KoreancarSNR10-cps01405 avg. like is -46.7606 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01038 avg. like is -60.0569 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01089 avg. like is -57.5914 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01139 avg. like is -55.1321 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01190 avg. like is -50.6492 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01240 avg. like is -53.7835 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01290 avg. like is -55.0612 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01341 avg. like is -55.4542 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s01m1kwhty01-20150804-Korean-cps01391 avg. like is -51.2898 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01024 avg. like is -50.8629 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01075 avg. like is -47.2939 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01125 avg. like is -49.6351 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01175 avg. like is -48.177 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01226 avg. like is -50.0733 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01276 avg. like is -48.738 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01327 avg. like is -49.1583 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s01m1kwhty01-20150804-KoreanbabbleSNR10-cps01377 avg. like is -46.813 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01010 avg. like is -47.9387 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01061 avg. like is -57.9107 over 168 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01112 avg. like is -55.1321 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01163 avg. like is -51.2292 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01214 avg. like is -60.6118 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01265 avg. like is -49.8122 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01315 avg. like is -50.1379 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01365 avg. like is -50.3276 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s01m1sssdj01-20150804-Korean-cps01416 avg. like is -56.1139 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01049 avg. like is -46.5753 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01101 avg. like is -43.0583 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01152 avg. like is -39.7429 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01203 avg. like is -44.7662 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01254 avg. like is -43.0682 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4000 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01304 avg. like is -46.2371 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4050 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01354 avg. like is -43.8796 over 108 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4100 utterances; for utterance s01m1sssdj01-20150804-KoreanwhiteSNR10-cps01405 avg. like is -45.1349 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4150 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01039 avg. like is -48.3362 over 130 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4200 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01090 avg. like is -50.3991 over 136 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4250 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01141 avg. like is -49.0093 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4300 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01191 avg. like is -61.4514 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4350 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01242 avg. like is -48.7072 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4400 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01294 avg. like is -50.4516 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4450 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01344 avg. like is -49.1192 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4500 utterances; for utterance s01m2ccjgt01-20150804-Korean-cps01394 avg. like is -43.5501 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4550 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01028 avg. like is -44.1429 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4600 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01079 avg. like is -45.2825 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4650 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01130 avg. like is -45.3958 over 176 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4700 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01180 avg. like is -44.8506 over 118 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4750 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01231 avg. like is -43.1058 over 125 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4800 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01283 avg. like is -44.1641 over 136 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4850 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01333 avg. like is -42.5678 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4900 utterances; for utterance s01m2ccjgt01-20150804-Koreancar1SNR10-cps01383 avg. like is -44.8003 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4950 utterances; for utterance s01m2jrbjj01-20150804-Korean-cps01016 avg. like is -54.2827 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5000 utterances; for utterance s01m2jrbjj01-20150804-Korean-cps01070 avg. like is -47.5991 over 124 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5050 utterances; for utterance s01m2jrbjj01-20150804-Korean-cps01120 avg. like is -49.1274 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5100 utterances; for utterance s01m2jrbjj01-20150804-Korean-cps01170 avg. like is -53.027 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5150 utterances; for utterance s01m2jrbjj01-20150804-Korean-cps01221 avg. like is -50.0809 over 147 frames.
