# gmm-acc-stats-ali exp/tri3b/7.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/2/utt2spk scp:data/train/split8/2/cmvn.scp scp:data/train/split8/2/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/2/utt2spk ark:exp/tri3b/trans.2 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.2.gz|" exp/tri3b/7.2.acc 
# Started at Tue May  7 16:08:33 KST 2019
#
gmm-acc-stats-ali exp/tri3b/7.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/2/utt2spk scp:data/train/split8/2/cmvn.scp scp:data/train/split8/2/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/2/utt2spk ark:exp/tri3b/trans.2 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.2.gz|' exp/tri3b/7.2.acc 
splice-feats ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/2/utt2spk ark:exp/tri3b/trans.2 ark:- ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/2/utt2spk scp:data/train/split8/2/cmvn.scp scp:data/train/split8/2/feats.scp ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s016m2ljy00_r-20150804-Korean-set016050 avg. like is -54.6261 over 399 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 100 utterances; for utterance s016m2ljy00_r-20150804-Korean-set016100 avg. like is -54.5035 over 372 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 150 utterances; for utterance s016m2ljy00_r-20150804-Koreanfactory1SNR10-set016045 avg. like is -44.9073 over 832 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 200 utterances; for utterance s016m2ljy00_r-20150804-Koreanfactory1SNR10-set016095 avg. like is -47.5193 over 810 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 250 utterances; for utterance s016mcc3yhm00-20150804-Korean-set016040 avg. like is -42.8931 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 300 utterances; for utterance s016mcc3yhm00-20150804-Korean-set016090 avg. like is -46.7598 over 668 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 350 utterances; for utterance s016mcc3yhm00-20150804-Koreanleopard2SNR10-set016035 avg. like is -43.4829 over 978 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 400 utterances; for utterance s016mcc3yhm00-20150804-Koreanleopard2SNR10-set016085 avg. like is -44.4314 over 878 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 450 utterances; for utterance s017fks4kky01-20150804-Korean-set017030 avg. like is -55.2727 over 638 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 500 utterances; for utterance s017fks4kky01-20150804-Korean-set017080 avg. like is -56.6159 over 548 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 550 utterances; for utterance s017fks4kky01-20150804-KoreanwhiteSNR10-set017025 avg. like is -43.482 over 958 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 600 utterances; for utterance s017fks4kky01-20150804-KoreanwhiteSNR10-set017075 avg. like is -41.6967 over 478 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 650 utterances; for utterance s017m2yds00-20150804-Korean-set017020 avg. like is -54.6394 over 792 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 700 utterances; for utterance s017m2yds00-20150804-Korean-set017070 avg. like is -53.8888 over 396 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 750 utterances; for utterance s017m2yds00-20150804-Koreanbabble2SNR10-set017015 avg. like is -49.4677 over 759 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 800 utterances; for utterance s017m2yds00-20150804-Koreanbabble2SNR10-set017065 avg. like is -48.8494 over 287 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 850 utterances; for utterance s017m2yds00_r-20150804-Korean-set017010 avg. like is -59.6243 over 1014 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 900 utterances; for utterance s017m2yds00_r-20150804-Korean-set017060 avg. like is -53.6284 over 417 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 950 utterances; for utterance s017m2yds00_r-20150804-KoreanwhiteSNR10-set017005 avg. like is -46.2977 over 565 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1000 utterances; for utterance s017m2yds00_r-20150804-KoreanwhiteSNR10-set017055 avg. like is -45.5123 over 249 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s017m2yds00_r-20150804-KoreanwhiteSNR10-set017105 avg. like is -45.5636 over 420 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1100 utterances; for utterance s017mss2kds00-20150804-Korean-set017050 avg. like is -51.049 over 968 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1150 utterances; for utterance s017mss2kds00-20150804-Korean-set017100 avg. like is -48.7485 over 598 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1200 utterances; for utterance s017mss2kds00-20150804-KoreancarSNR10-set017045 avg. like is -43.4189 over 628 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1250 utterances; for utterance s017mss2kds00-20150804-KoreancarSNR10-set017095 avg. like is -45.1435 over 898 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1300 utterances; for utterance s018fss1kjj00-20150804-Korean-set018040 avg. like is -53.0389 over 748 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1350 utterances; for utterance s018fss1kjj00-20150804-Korean-set018090 avg. like is -51.6604 over 758 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1400 utterances; for utterance s018fss1kjj00-20150804-Koreanfactory1SNR10-set018035 avg. like is -42.6408 over 778 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1450 utterances; for utterance s018fss1kjj00-20150804-Koreanfactory1SNR10-set018085 avg. like is -43.8657 over 758 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1500 utterances; for utterance s018m2ksk00-20150804-Korean-set018030 avg. like is -56.7189 over 421 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1550 utterances; for utterance s018m2ksk00-20150804-Korean-set018080 avg. like is -52.9933 over 495 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1600 utterances; for utterance s018m2ksk00-20150804-KoreandestroyeropsSNR10-set018025 avg. like is -47.4361 over 324 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1650 utterances; for utterance s018m2ksk00-20150804-KoreandestroyeropsSNR10-set018075 avg. like is -48.6126 over 376 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1700 utterances; for utterance s018mss3lch00-20150804-Korean-set018020 avg. like is -50.6771 over 778 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1750 utterances; for utterance s018mss3lch00-20150804-Korean-set018070 avg. like is -47.3791 over 868 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1800 utterances; for utterance s019fss3ksy03-20150804-Korean-set019015 avg. like is -54.042 over 418 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1850 utterances; for utterance s019fss3ksy03-20150804-Korean-set019065 avg. like is -51.0046 over 498 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1900 utterances; for utterance s019fss3ksy03-20150804-KoreancarSNR10-set019009 avg. like is -45.7013 over 1008 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1950 utterances; for utterance s019fss3ksy03-20150804-KoreancarSNR10-set019059 avg. like is -40.6325 over 568 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2000 utterances; for utterance s019m2wdj00-20150804-Korean-set019003 avg. like is -56.2964 over 700 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s019m2wdj00-20150804-Korean-set019053 avg. like is -53.682 over 400 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s019m2wdj00-20150804-Korean-set019103 avg. like is -55.2534 over 344 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s019m2wdj00-20150804-KoreanpinkSNR10-set019047 avg. like is -43.5386 over 467 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s019m2wdj00-20150804-KoreanpinkSNR10-set019097 avg. like is -44.4246 over 272 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s019m2wdj00_r-20150804-Korean-set019041 avg. like is -53.4381 over 409 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s019m2wdj00_r-20150804-Korean-set019091 avg. like is -52.5367 over 413 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s019m2wdj00_r-20150804-Koreanbabble2SNR10-set019035 avg. like is -49.2481 over 796 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s019m2wdj00_r-20150804-Koreanbabble2SNR10-set019085 avg. like is -49.4108 over 269 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s019mss2lyh00-20150804-Korean-set019029 avg. like is -50.5594 over 398 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s019mss2lyh00-20150804-Korean-set019079 avg. like is -51.059 over 508 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s019mss2lyh00-20150804-Koreanfactory1SNR10-set019023 avg. like is -44.6719 over 558 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s019mss2lyh00-20150804-Koreanfactory1SNR10-set019073 avg. like is -42.7002 over 458 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01018 avg. like is -54.6031 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01068 avg. like is -51.9432 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01118 avg. like is -51.8128 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01168 avg. like is -50.8369 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01219 avg. like is -49.9194 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01269 avg. like is -45.3503 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01321 avg. like is -52.1477 over 197 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s01f1cchsi01-20150804-Korean-cps01373 avg. like is -51.5714 over 149 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01008 avg. like is -44.2237 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01059 avg. like is -46.5573 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01109 avg. like is -45.4103 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01159 avg. like is -43.6103 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01210 avg. like is -42.206 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01260 avg. like is -43.9852 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01311 avg. like is -43.2269 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01364 avg. like is -43.1085 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s01f1cchsi01-20150804-Koreancar1SNR10-cps01416 avg. like is -42.5277 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s01f1ksism04-20150804-Korean-cps01054 avg. like is -41.6017 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s01f1ksism04-20150804-Korean-cps01111 avg. like is -47.593 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s01f1ksism04-20150804-Korean-cps01167 avg. like is -44.5336 over 173 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s01f1ksism04-20150804-Korean-cps01221 avg. like is -45.2148 over 189 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s01f1ksism04-20150804-Korean-cps01271 avg. like is -46.6815 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s01f1ksism04-20150804-Korean-cps01322 avg. like is -57.0907 over 270 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s01f1ksism04-20150804-Korean-cps01373 avg. like is -47.7581 over 167 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s01f1ksism04-20150804-KoreandestroyeropsSNR10-cps01013 avg. like is -46.6598 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s01f1ksism04-20150804-KoreandestroyeropsSNR10-cps01068 avg. like is -46.2307 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s01f1ksism04-20150804-KoreandestroyeropsSNR10-cps01125 avg. like is -44.2353 over 186 frames.
